,Class of Rating,Name,Rating Score,Review Number,URL
139,Very Good,Studio on Arch Street Apt 1A,8.3,5 reviews,http://booking.com/hotel/us/studio-on-arch-street-1a.html#hotelTmpl
140,,Three-Bedroom on South Street Apt 7,,,http://booking.com/hotel/us/three-bedroom-on-south-street-apt-7.html#hotelTmpl
141,,One-Bedroom on Washington Street Apt 309,,,http://booking.com/hotel/us/one-bedroom-on-washington-street-apt-309.html#hotelTmpl
142,,Two-Bedroom on Washington Street Apt 401,,,http://booking.com/hotel/us/two-bedroom-on-washington-street-apt-401.html#hotelTmpl
143,,Three-Bedroom on South Street Apt 3,,,http://booking.com/hotel/us/three-bedroom-on-south-street-apt-3.html#hotelTmpl
144,,Cobblestone Loft,,,http://booking.com/hotel/us/cobblestone-loft.html#hotelTmpl
145,Good,One-Bedroom on Boylston Street Apt 914,7.8,41 reviews,http://booking.com/hotel/us/one-bedroom-on-boylston-street-apt-914.html#hotelTmpl
146,,Three-Bedroom on South Street Apt 9,,,http://booking.com/hotel/us/three-bedroom-on-south-street-apt-9.html#hotelTmpl
147,Review score,Bluebird Suites at Garrison Square,6.6,14 reviews,http://booking.com/hotel/us/bluebird-suites-at-garrison-square.html#hotelTmpl
148,Very Good,Two-Bedroom on Newbury St Apt 41,8.1,430 reviews,http://booking.com/hotel/us/two-bedroom-on-newbury-st-apt-41.html#hotelTmpl
149,Excellent,Kimpton Nine Zero Hotel,8.9,823 reviews,http://booking.com/hotel/us/nine-zero-hotel.html#hotelTmpl
150,Very Good,Two-Bedroom on E Springfield Street Apt 4,8.1,"2,805 reviews",http://booking.com/hotel/us/two-bedroom-on-e-springfield-street-apt-4.html#hotelTmpl
151,Awesome,The Eliot Suite Hotel,9.0,"1,212 reviews",http://booking.com/hotel/us/the-eliot.html#hotelTmpl
152,Very Good,Global Luxury Suites at Longwood Medical Area,8.2,12 reviews,http://booking.com/hotel/us/global-luxury-suites-on-olmstead-park.html#hotelTmpl
153,Awesome,One-Bedroom on D Street Apt 432,9.0,6 reviews,http://booking.com/hotel/us/one-bedroom-on-d-street-apt-432.html#hotelTmpl
154,Excellent,Inn at St. Botolph,8.9,215 reviews,http://booking.com/hotel/us/inn-at-st-botolph.html#hotelTmpl
155,Exceptional,Jefferies Point Condos by Airport & Subway - 3,9.6,8 reviews,http://booking.com/hotel/us/jefferies-point-condos-by-airport-amp-subway-3.html#hotelTmpl
156,,Two-Bedroom on Union Park Street Apt 2,,,http://booking.com/hotel/us/two-bedroom-on-union-park-street-apt-2.html#hotelTmpl
157,Very Good,One-Bedroom on Warrenton Street Apt 5,8.4,62 reviews,http://booking.com/hotel/us/one-bedroom-on-warrenton-street-apt-5.html#hotelTmpl
158,Good,Evolve Park Lane Seaport,7.3,11 reviews,http://booking.com/hotel/us/evolve-park-lane-seaport.html#hotelTmpl
159,Very Good,Hampton Inn & Suites Boston Crosstown Center,8.0,499 reviews,http://booking.com/hotel/us/hampton-inn-crosstown-center.html#hotelTmpl
160,Awesome,Hotel Commonwealth,9.1,"1,767 reviews",http://booking.com/hotel/us/c-boston-massachusettes.html#hotelTmpl
